cell_id,collection_day_id,zone_id,network_condition,workload_profile,session_mode,status,eligible_for_primary_analysis
day_01_zone_a_wifi_normal_learn,day_01,zone_a,wifi_normal,learn,PILOT,pending,0
day_01_zone_a_wifi_normal_create,day_01,zone_a,wifi_normal,create,PILOT,pending,0
day_01_zone_a_wifi_normal_sense,day_01,zone_a,wifi_normal,sense,PILOT,pending,0
day_01_zone_a_wifi_degraded_learn,day_01,zone_a,wifi_degraded,learn,PILOT,pending,0
day_01_zone_a_wifi_degraded_create,day_01,zone_a,wifi_degraded,create,PILOT,pending,0
day_01_zone_a_wifi_degraded_sense,day_01,zone_a,wifi_degraded,sense,PILOT,pending,0
day_01_zone_b_wifi_normal_learn,day_01,zone_b,wifi_normal,learn,PILOT,pending,0
day_01_zone_b_wifi_normal_create,day_01,zone_b,wifi_normal,create,PILOT,pending,0
day_01_zone_b_wifi_normal_sense,day_01,zone_b,wifi_normal,sense,PILOT,pending,0
day_01_zone_b_wifi_degraded_learn,day_01,zone_b,wifi_degraded,learn,PILOT,pending,0
day_01_zone_b_wifi_degraded_create,day_01,zone_b,wifi_degraded,create,PILOT,pending,0
day_01_zone_b_wifi_degraded_sense,day_01,zone_b,wifi_degraded,sense,PILOT,pending,0
day_01_zone_c_wifi_normal_learn,day_01,zone_c,wifi_normal,learn,PILOT,pending,0
day_01_zone_c_wifi_normal_create,day_01,zone_c,wifi_normal,create,PILOT,pending,0
day_01_zone_c_wifi_normal_sense,day_01,zone_c,wifi_normal,sense,PILOT,pending,0
day_01_zone_c_wifi_degraded_learn,day_01,zone_c,wifi_degraded,learn,PILOT,pending,0
day_01_zone_c_wifi_degraded_create,day_01,zone_c,wifi_degraded,create,PILOT,pending,0
day_01_zone_c_wifi_degraded_sense,day_01,zone_c,wifi_degraded,sense,PILOT,pending,0
day_02_zone_a_wifi_normal_learn,day_02,zone_a,wifi_normal,learn,PILOT,pending,0
day_02_zone_a_wifi_normal_create,day_02,zone_a,wifi_normal,create,PILOT,pending,0
day_02_zone_a_wifi_normal_sense,day_02,zone_a,wifi_normal,sense,PILOT,pending,0
day_02_zone_a_wifi_degraded_learn,day_02,zone_a,wifi_degraded,learn,PILOT,pending,0
day_02_zone_a_wifi_degraded_create,day_02,zone_a,wifi_degraded,create,PILOT,pending,0
day_02_zone_a_wifi_degraded_sense,day_02,zone_a,wifi_degraded,sense,PILOT,pending,0
day_02_zone_b_wifi_normal_learn,day_02,zone_b,wifi_normal,learn,PILOT,pending,0
day_02_zone_b_wifi_normal_create,day_02,zone_b,wifi_normal,create,PILOT,pending,0
day_02_zone_b_wifi_normal_sense,day_02,zone_b,wifi_normal,sense,PILOT,pending,0
day_02_zone_b_wifi_degraded_learn,day_02,zone_b,wifi_degraded,learn,PILOT,pending,0
day_02_zone_b_wifi_degraded_create,day_02,zone_b,wifi_degraded,create,PILOT,pending,0
day_02_zone_b_wifi_degraded_sense,day_02,zone_b,wifi_degraded,sense,PILOT,pending,0
day_02_zone_c_wifi_normal_learn,day_02,zone_c,wifi_normal,learn,PILOT,pending,0
day_02_zone_c_wifi_normal_create,day_02,zone_c,wifi_normal,create,PILOT,pending,0
day_02_zone_c_wifi_normal_sense,day_02,zone_c,wifi_normal,sense,PILOT,pending,0
day_02_zone_c_wifi_degraded_learn,day_02,zone_c,wifi_degraded,learn,PILOT,pending,0
day_02_zone_c_wifi_degraded_create,day_02,zone_c,wifi_degraded,create,PILOT,pending,0
day_02_zone_c_wifi_degraded_sense,day_02,zone_c,wifi_degraded,sense,PILOT,pending,0
day_03_zone_a_wifi_normal_learn,day_03,zone_a,wifi_normal,learn,PILOT,pending,0
day_03_zone_a_wifi_normal_create,day_03,zone_a,wifi_normal,create,PILOT,pending,0
day_03_zone_a_wifi_normal_sense,day_03,zone_a,wifi_normal,sense,PILOT,pending,0
day_03_zone_a_wifi_degraded_learn,day_03,zone_a,wifi_degraded,learn,PILOT,pending,0
day_03_zone_a_wifi_degraded_create,day_03,zone_a,wifi_degraded,create,PILOT,pending,0
day_03_zone_a_wifi_degraded_sense,day_03,zone_a,wifi_degraded,sense,PILOT,pending,0
day_03_zone_b_wifi_normal_learn,day_03,zone_b,wifi_normal,learn,PILOT,pending,0
day_03_zone_b_wifi_normal_create,day_03,zone_b,wifi_normal,create,PILOT,pending,0
day_03_zone_b_wifi_normal_sense,day_03,zone_b,wifi_normal,sense,PILOT,pending,0
day_03_zone_b_wifi_degraded_learn,day_03,zone_b,wifi_degraded,learn,PILOT,pending,0
day_03_zone_b_wifi_degraded_create,day_03,zone_b,wifi_degraded,create,PILOT,pending,0
day_03_zone_b_wifi_degraded_sense,day_03,zone_b,wifi_degraded,sense,PILOT,pending,0
day_03_zone_c_wifi_normal_learn,day_03,zone_c,wifi_normal,learn,PILOT,pending,0
day_03_zone_c_wifi_normal_create,day_03,zone_c,wifi_normal,create,PILOT,pending,0
day_03_zone_c_wifi_normal_sense,day_03,zone_c,wifi_normal,sense,PILOT,pending,0
day_03_zone_c_wifi_degraded_learn,day_03,zone_c,wifi_degraded,learn,PILOT,pending,0
day_03_zone_c_wifi_degraded_create,day_03,zone_c,wifi_degraded,create,PILOT,pending,0
day_03_zone_c_wifi_degraded_sense,day_03,zone_c,wifi_degraded,sense,PILOT,pending,0
