refdes,mpn,manufacturer,description,qty,est_cost_usd,source,status,evidence_class,alternate_mpn
U1,Core Ultra 7 155H,Intel,Application processor,1,280,oem,FROZEN_BASELINE,MODELED,Ryzen AI 9 HX 370
U2,BE200,Intel,Wi-Fi 7 + BT,1,25,distributor,FROZEN_BASELINE,MODELED,
U3,RM520N-GL,Quectel,5G WWAN M.2,1,120,distributor,FROZEN_BASELINE,MODELED,
DISP1,14in_2560x1600_eDP,BOE/AUO,Upper eDP touch,1,75,oem_quote_required,AVL_PENDING,MODELED,
DISP2,14in_1920x1200_eDP,BOE/AUO,Lower eDP touch,1,55,oem_quote_required,AVL_PENDING,MODELED,
MEM1,LPDDR5X-32GB,Micron/Samsung,32GB LPDDR5x,1,90,oem,FROZEN_BASELINE,MODELED,
SSD1,PC801 512GB,Phison/OEM,NVMe socketed,1,45,distributor,FROZEN_BASELINE,MODELED,
BT1,60Wh_pack,OEM,Battery pack,1,40,oem,FROZEN_BASELINE,MODELED,
PCB1,ds_xl_coder_main_pcb,gunnchOS3k,Main PCB,1,60,fab,DESIGN_PENDING,MODELED,
MECH1,ds_xl_dual_hinge_enclosure,gunnchOS3k,Dual-screen enclosure,1,40,cm,CAD_PARAMETRIC,MODELED,
