refdes,mpn,manufacturer,description,qty,est_cost_usd,source,status,evidence_class,alternate_mpn,alternate_mpn_2,avl_status,distributor_sku,lifecycle
U1,Core Ultra 7 155H,Intel,Application processor BGA (COM-like / soldered),1,280,digikey_mouser_oem,FROZEN_BASELINE,MODELED,Ryzen AI 9 HX 370,,AVL_PENDING,OEM_QUOTE,active
U2,BE200,Intel,Wi-Fi 7 + Bluetooth M.2,1,25,distributor,FROZEN_BASELINE,MODELED,AX211,RZ616,AVL_CANDIDATE,DIGIKEY_PENDING,active
U3,RM520N-GL,Quectel,5G NR Sub-6 M.2 3052 WWAN,1,120,distributor,FROZEN_BASELINE,MODELED,RM500Q-GL,EM120K-GL,AVL_CANDIDATE,DIGIKEY_PENDING,active
U4,SLB9672XQ2.0,Infineon,TPM 2.0 SPI,1,2.5,distributor,FROZEN_BASELINE,MODELED,ST33HTPH2E28,,AVL_CANDIDATE,DIGIKEY_PENDING,active
U5,BQ40Z50-R2,Texas Instruments,Battery fuel gauge (SBS),1,3.2,distributor,FROZEN_BASELINE,MODELED,BQ40Z80,,AVL_CANDIDATE,BQ40Z50R2SMAR-ND,active
U6,TPS65994ADFBRQ1,Texas Instruments,USB-C PD controller,1,4.5,distributor,FROZEN_BASELINE,MODELED,CYPD6227-96LQXIT,TPS65987DDHR,AVL_CANDIDATE,DIGIKEY_PENDING,active
U7,MP2978A,Monolithic Power,IMVP9 multiphase VCORE controller,1,4.0,distributor,FROZEN_BASELINE,MODELED,ISL6269A,TPS536C7,AVL_PENDING,OEM_REF_DESIGN,active
U8,MP2040,Monolithic Power,VCCGT/graphics rail controller class,1,3.5,distributor,FROZEN_BASELINE,MODELED,TPS53667,,AVL_PENDING,OEM_REF_DESIGN,active
U9,TPS51396AJYYR,Texas Instruments,5V system buck 10A class,1,1.8,distributor,FROZEN_BASELINE,MODELED,TPS62175,MP2145,AVL_CANDIDATE,296-TPS51396AJYYRCT-ND,active
U10,TPS62864YCPR,Texas Instruments,3V3 / 1V8 high-eff buck,2,1.2,distributor,FROZEN_BASELINE,MODELED,TPS62135,TLV62084,AVL_CANDIDATE,296-TPS62864YCPRCT-ND,active
U11,TLV75518PDRVR,Texas Instruments,1.8V LDO always-on / IO,1,0.35,distributor,FROZEN_BASELINE,MODELED,TLV70018,NCP167AMX180TBG,AVL_CANDIDATE,296-TLV75518PDRVRCT-ND,active
U12,TLV75533PDRVR,Texas Instruments,3.3V LDO always-on logic,1,0.35,distributor,FROZEN_BASELINE,MODELED,TLV70033,NCP167AMX330TBG,AVL_CANDIDATE,296-TLV75533PDRVRCT-ND,active
U13,BQ25792RQMR,Texas Instruments,NVDC battery charger buck-boost,1,3.8,distributor,FROZEN_BASELINE,MODELED,BQ25798,ISL9238,AVL_CANDIDATE,296-BQ25792RQMRCT-ND,active
MEM1,MT62F2G32D8DV-031 WT:B,Micron,LPDDR5x 16Gb die — populate to 32GB,8,12,oem,FROZEN_BASELINE,MODELED,Samsung K3KL9L90CM equiv,,AVL_PENDING,OEM_NDA,active
SSD1,PC801 512GB,Phison/OEM,NVMe 2230/2280 PCIe4,1,45,distributor,FROZEN_BASELINE,MODELED,WD SN740 512GB,Samsung PM9C1a 512GB,AVL_CANDIDATE,DISTRIBUTOR_PENDING,active
DISP1,14.5in_2880x1800_eDP,BOE/AUO/TBD_AVL,"14.5"" IPS eDP touch panel",1,85,oem_quote_required,AVL_PENDING,MODELED,BOE NV145WUM-N61 class,AUO B145EAN class,AVL_PENDING,OEM_QUOTE,active
BT1,INR18650-pack-60Wh,OEM pack,4S Li-ion pack w/ protection + SMBus,1,40,oem,FROZEN_BASELINE,MODELED,4S2P 56-72Wh class,,AVL_PENDING,OEM_QUOTE,active
PCB1,student_14_5_main_pcb,gunnchOS3k,Main logic PCB,1,55,fab,DESIGN_PENDING_KICAD,MODELED,,,
MECH1,student_14_5_enclosure,gunnchOS3k,Enclosure set,1,25,cm,CAD_PARAMETRIC,MODELED,,,
