device,subsystem,manufacturer,MPN,description,qty,preferred_or_alternate,approved_alternative,status,notes,datasheet_or_docs,indicative_public_price,availability_snapshot,supply_risk,honest_alternate,pricing_as_of_utc,purchase_authorized
Handheld Hybrid,SoM,Radxa,RM121-D8E32,Radxa NX5 RK3588S 8GB LPDDR4X + 32GB eMMC SODIMM,1,preferred,RM121-D8E16,FROZEN_EXACT_MPN,ADR-HW-001 — not bare RK3588S BGA; lifecycle ≥2033 per brief,https://dl.radxa.com/nx5/radxa_nx5_product_brief.pdf,CONTACT_RADXA_CHANNEL,UNKNOWN_AT_RFQ_TIME,MEDIUM,RM121-D8E16,2026-08-09T22:00:34Z,FALSE
Handheld Hybrid,SoM_alt,Radxa,RM121-D8E16,NX5 8GB + 16GB eMMC,1,alternate,RM121-D8E8,APPROVED_ALTERNATE,Official brief table,,CONTACT_RADXA_CHANNEL,UNKNOWN_AT_RFQ_TIME,MEDIUM,RM121-D8E8,2026-08-09T22:00:34Z,FALSE
Handheld Hybrid,CarrierPCB,gunnchOS3k,handheld_hybrid_carrier,Game carrier PCB,1,preferred,,DESIGN_PENDING_CLI,,,CONTACT_VENDOR,UNKNOWN_AT_RFQ_TIME,MEDIUM,NONE_LISTED,2026-08-09T22:00:34Z,FALSE
Handheld Hybrid,SODIMM_connector,TE/Amphenol,260-pin SODIMM socket,Matches NX5 260-pin edge,1,preferred,,AVL_PENDING,Pinout per Radxa NX5 pinout doc,,CONTACT_VENDOR,UNKNOWN_AT_RFQ_TIME,MEDIUM,NONE_LISTED,2026-08-09T22:00:34Z,FALSE
Handheld Hybrid,Display,OEM,7in_1080p_120Hz_IPS,7 inch touch panel,1,preferred,,AVL_PENDING,,,CONTACT_VENDOR,UNKNOWN_AT_RFQ_TIME,MEDIUM,NONE_LISTED,2026-08-09T22:00:34Z,FALSE
Handheld Hybrid,WiFiBT,Ampak,AP6275P,Wi-Fi 6E + BT 5.3 module,1,preferred,AIC8800D,FROZEN_BASELINE,,,CONTACT_VENDOR,UNKNOWN_AT_RFQ_TIME,MEDIUM,AIC8800D,2026-08-09T22:00:34Z,FALSE
Handheld Hybrid,WWAN_opt,Quectel,RM520N-GL,Optional 5G M.2,1,alternate,,FOOTPRINT_OPTIONAL,Thermal-gated; NOT 6G; NO NTN,https://www.quectel.com/product/5g-rm520n-series/,DISTRIBUTOR_CHECK,UNKNOWN_AT_RFQ_TIME,MEDIUM_HOST_CERT_SEPARATE,NONE_LISTED,2026-08-09T22:00:34Z,FALSE
Handheld Hybrid,HID_MCU,STMicro,STM32F103C8T6,Gamepad HID MCU,1,preferred,nRF52840-QIAA-R,FROZEN_BASELINE,,,CONTACT_VENDOR,UNKNOWN_AT_RFQ_TIME,MEDIUM,nRF52840-QIAA-R,2026-08-09T22:00:34Z,FALSE
Handheld Hybrid,PD,Texas Instruments,TPS65987DDHRSHR,USB-C PD,1,preferred,IP2726 class,FROZEN_BASELINE,,,CONTACT_VENDOR,UNKNOWN_AT_RFQ_TIME,MEDIUM,IP2726 class,2026-08-09T22:00:34Z,FALSE
Handheld Hybrid,Charger,Texas Instruments,BQ25895RTWR,Single-cell pack charger class,1,preferred,BQ25792RQMR,FROZEN_BASELINE,topology-dependent,,CONTACT_VENDOR,UNKNOWN_AT_RFQ_TIME,MEDIUM,BQ25792RQMR,2026-08-09T22:00:34Z,FALSE
Handheld Hybrid,FuelGauge,Texas Instruments,BQ27Z561YPHR,Fuel gauge,1,preferred,BQ27Z561YPHR,FROZEN_BASELINE,,,CONTACT_VENDOR,UNKNOWN_AT_RFQ_TIME,MEDIUM,BQ27Z561YPHR,2026-08-09T22:00:34Z,FALSE
Handheld Hybrid,Battery,OEM,6000mAh_1S2P_or_2S,Game pack,1,preferred,,FROZEN_BASELINE,MODELED,,CONTACT_VENDOR,UNKNOWN_AT_RFQ_TIME,MEDIUM,NONE_LISTED,2026-08-09T22:00:34Z,FALSE
Handheld Hybrid,Sticks,ALPS,RKJXV122400D,Analog stick,2,preferred,,AVL_PENDING,,,CONTACT_VENDOR,UNKNOWN_AT_RFQ_TIME,MEDIUM,NONE_LISTED,2026-08-09T22:00:34Z,FALSE
Handheld Hybrid,Buttons,OEM,tactile_ABXY_LR_DPAD,Button set,1,preferred,,AVL_PENDING,,,CONTACT_VENDOR,UNKNOWN_AT_RFQ_TIME,MEDIUM,NONE_LISTED,2026-08-09T22:00:34Z,FALSE
Handheld Hybrid,SE,NXP,SE050C1HQ1,Secure element footprint,1,preferred,ATECC608B,FROZEN_BASELINE,,,CONTACT_VENDOR,UNKNOWN_AT_RFQ_TIME,MEDIUM,ATECC608B,2026-08-09T22:00:34Z,FALSE
