experiment_id,parameter,boundary_metric,boundary_value,unit,evaluation_label,inference_label,action
gate4-20260722T170351Z,latency,first_threshold_where_policy_degrades,0.3007,normalized,infrastructure_validation_only,insufficient_sample_size_for_inference,record_for_followup
gate4-20260722T170351Z,jitter,first_threshold_where_policy_degrades,0.2907,normalized,infrastructure_validation_only,insufficient_sample_size_for_inference,record_for_followup
gate4-20260722T170351Z,packet_loss,first_threshold_where_policy_degrades,0.504,normalized,infrastructure_validation_only,insufficient_sample_size_for_inference,record_for_followup
gate4-20260722T170351Z,capacity,first_threshold_where_policy_degrades,0.3107,normalized,infrastructure_validation_only,insufficient_sample_size_for_inference,record_for_followup
gate4-20260722T170351Z,energy,first_threshold_where_policy_degrades,0.3173,normalized,infrastructure_validation_only,insufficient_sample_size_for_inference,record_for_followup
gate4-20260722T170351Z,local_edge,first_threshold_where_policy_degrades,0.3673,normalized,infrastructure_validation_only,insufficient_sample_size_for_inference,record_for_followup
gate4-20260722T170351Z,outage_duration,first_threshold_where_policy_degrades,0.3507,normalized,infrastructure_validation_only,insufficient_sample_size_for_inference,record_for_followup
gate4-20260722T170351Z,recovery_delay,first_threshold_where_policy_degrades,0.3907,normalized,infrastructure_validation_only,insufficient_sample_size_for_inference,record_for_followup
gate4-20260722T170351Z,ntn_latency,first_threshold_where_policy_degrades,0.4807,normalized,infrastructure_validation_only,insufficient_sample_size_for_inference,record_for_followup
gate4-20260722T170351Z,ntn_capacity,first_threshold_where_policy_degrades,0.4907,normalized,infrastructure_validation_only,insufficient_sample_size_for_inference,record_for_followup
gate4-20260722T170351Z,ntn_availability,first_threshold_where_policy_degrades,0.354,normalized,infrastructure_validation_only,insufficient_sample_size_for_inference,record_for_followup
gate4-20260722T170351Z,handover_delay,first_threshold_where_policy_degrades,0.4707,normalized,infrastructure_validation_only,insufficient_sample_size_for_inference,record_for_followup
gate4-20260722T170351Z,mobility,first_threshold_where_policy_degrades,0.544,normalized,infrastructure_validation_only,insufficient_sample_size_for_inference,record_for_followup
gate4-20260722T170351Z,blockage,first_threshold_where_policy_degrades,0.384,normalized,infrastructure_validation_only,insufficient_sample_size_for_inference,record_for_followup
gate4-20260722T170351Z,service_class,first_threshold_where_policy_degrades,0.464,normalized,infrastructure_validation_only,insufficient_sample_size_for_inference,record_for_followup
gate4-20260722T170351Z,fairness_threshold,first_threshold_where_policy_degrades,0.264,normalized,infrastructure_validation_only,insufficient_sample_size_for_inference,record_for_followup
gate4-20260722T170351Z,continuity_threshold,first_threshold_where_policy_degrades,0.3973,normalized,infrastructure_validation_only,insufficient_sample_size_for_inference,record_for_followup
