parameter,value,selected_mode,continuity_score,estimated_latency_ms
baseline,,terrestrial,0.8433333333333333,47.0
ntn_latency_ms,20,terrestrial,0.8433333333333333,47.0
ntn_latency_ms,60,terrestrial,0.8433333333333333,47.0
ntn_capacity_mbps,1,terrestrial,0.8433333333333333,47.0
ntn_capacity_mbps,20,terrestrial,0.8433333333333333,47.0
ntn_availability,0.5,terrestrial,0.8433333333333333,47.0
ntn_availability,0.99,terrestrial,0.8433333333333333,47.0
handover_delay_s,1.0,terrestrial,0.8433333333333333,47.0
handover_delay_s,10.0,terrestrial,0.8433333333333333,47.0
ntn_energy_cost_j,10.0,terrestrial,0.8433333333333333,47.0
ntn_energy_cost_j,80.0,terrestrial,0.8433333333333333,47.0
terrestrial_outage_duration_s,5.0,terrestrial,0.8433333333333333,47.0
terrestrial_outage_duration_s,120.0,terrestrial,0.8433333333333333,47.0
service_latency_budget_ms,50.0,terrestrial,0.53,47.0
service_latency_budget_ms,100.0,terrestrial,0.765,47.0
service_latency_budget_ms,300.0,terrestrial,0.9216666666666666,47.0
