parameter,value,selected_mode,continuity_score,estimated_latency_ms
baseline,,terrestrial,0.44115661166666664,35.306033
ntn_latency_ms,20,terrestrial,0.44115661166666664,35.306033
ntn_latency_ms,60,terrestrial,0.44115661166666664,35.306033
ntn_capacity_mbps,1,terrestrial,0.44115661166666664,35.306033
ntn_capacity_mbps,20,terrestrial,0.44115661166666664,35.306033
ntn_availability,0.5,terrestrial,0.44115661166666664,35.306033
ntn_availability,0.99,terrestrial,0.44115661166666664,35.306033
handover_delay_s,1.0,terrestrial,0.44115661166666664,35.306033
handover_delay_s,10.0,terrestrial,0.44115661166666664,35.306033
ntn_energy_cost_j,10.0,terrestrial,0.44115661166666664,35.306033
ntn_energy_cost_j,80.0,terrestrial,0.44115661166666664,35.306033
terrestrial_outage_duration_s,5.0,terrestrial,0.44115661166666664,35.306033
terrestrial_outage_duration_s,120.0,terrestrial,0.44115661166666664,35.306033
service_latency_budget_ms,50.0,terrestrial,0.32346983500000004,35.306033
service_latency_budget_ms,100.0,terrestrial,0.4117349175,35.306033
service_latency_budget_ms,300.0,terrestrial,0.4705783058333333,35.306033
